PLAYER,SALARY,SEASON,TEAM,AGE,GP,W,L,PTS,3PM,REB,AST,TOV,STL,BLK,+/-,OFFRTG,DEFRTG,NETRTG,SALARY_CAP
John Salmons,7580000.0,2012,SAC,33.0,76.0,26.0,50.0,8.8,1.3,2.7,3.0,1.1,0.7,0.3,-0.5,107.4,108.0,-0.6,58679000
Arron Afflalo,7562500.0,2012,ORL,27.0,64.0,18.0,46.0,16.5,1.1,3.7,3.2,2.2,0.6,0.2,-5.0,101.5,109.2,-7.6,58679000
Taj Gibson,7550000.0,2012,CHI,28.0,65.0,38.0,27.0,8.0,0.0,5.3,0.9,1.2,0.4,1.4,1.7,103.3,98.1,5.3,58679000
Marvin Williams,7500000.0,2012,UTA,27.0,73.0,40.0,33.0,7.2,0.7,3.6,1.1,0.8,0.5,0.5,-1.3,100.9,103.9,-3.0,58679000
Goran Dragic,7500000.0,2012,PHX,27.0,77.0,25.0,52.0,14.7,1.1,3.1,7.4,2.8,1.6,0.3,-3.1,102.3,106.9,-4.7,58679000
John Wall,7459924.0,2012,WAS,22.0,49.0,24.0,25.0,18.5,0.2,4.0,7.6,3.2,1.3,0.8,0.9,102.8,101.2,1.6,58679000
Josh Childress,7405833.0,2012,BKN,30.0,14.0,8.0,6.0,1.0,0.1,1.1,0.4,0.0,0.1,0.1,-2.5,90.0,101.4,-11.4,58679000
Tayshaun Prince,7235955.0,2012,MEM,33.0,82.0,44.0,38.0,10.4,0.5,4.4,2.4,1.1,0.6,0.3,1.4,103.8,101.5,2.3,58679000
Drew Gooden,7091619.0,2012,MIL,31.0,16.0,9.0,7.0,3.3,0.1,1.9,0.4,0.6,0.3,0.4,-1.0,99.3,104.6,-5.2,58679000
Brendan Haywood,7073500.0,2012,CHA,33.0,61.0,15.0,46.0,3.5,0.0,4.8,0.5,0.8,0.3,0.8,-2.9,97.5,105.4,-7.9,58679000
Michael Beasley,7027424.0,2012,PHX,24.0,75.0,24.0,51.0,10.1,0.6,3.8,1.5,1.9,0.4,0.5,-4.5,97.5,109.0,-11.5,58679000
Manu Ginobili,7000000.0,2012,SAS,35.0,60.0,45.0,15.0,11.8,1.4,3.4,4.6,2.2,1.3,0.2,3.9,105.6,97.5,8.1,58679000
Wesley Matthews,6875480.0,2012,POR,26.0,69.0,28.0,41.0,14.8,2.4,2.8,2.5,1.6,1.3,0.3,-1.2,106.7,108.8,-2.1,58679000
Jose Calderon,6791570.0,2012,DET,31.0,73.0,23.0,50.0,11.3,1.8,2.4,7.1,1.7,0.8,0.1,-3.4,101.8,108.3,-6.5,58679000
Kyle Korver,6760563.0,2012,ATL,32.0,74.0,41.0,33.0,10.9,2.6,4.0,2.0,0.9,0.9,0.5,2.7,106.0,101.9,4.1,58679000
Carl Landry,6750000.0,2012,GSW,29.0,81.0,46.0,35.0,10.8,0.0,6.0,0.8,1.4,0.4,0.4,-0.1,102.8,103.9,-1.0,58679000
Glen Davis,6750000.0,2012,ORL,27.0,34.0,13.0,21.0,15.1,0.0,7.2,2.1,1.9,0.9,0.6,-0.8,100.8,101.8,-1.0,58679000
Brandon Bass,6750000.0,2012,BOS,28.0,81.0,41.0,40.0,8.7,0.0,5.2,1.0,1.0,0.5,0.8,-2.2,101.1,104.6,-3.5,58679000
Evan Turner,6679866.0,2012,PHI,24.0,82.0,34.0,48.0,13.3,0.7,6.3,4.3,2.3,0.9,0.2,-2.6,100.7,104.5,-3.8,58679000
Amir Johnson,6500000.0,2012,TOR,26.0,81.0,34.0,47.0,10.0,0.1,7.5,1.5,1.4,1.0,1.4,2.6,107.6,102.3,5.4,58679000
Kevin Martin,6500000.0,2012,OKC,30.0,77.0,57.0,20.0,14.0,2.1,2.3,1.4,1.3,0.9,0.1,5.7,112.9,102.2,10.7,58679000
JJ Redick,6500000.0,2012,MIL,29.0,78.0,26.0,52.0,14.1,2.1,2.2,3.8,1.8,0.5,0.1,-1.2,104.9,107.3,-2.4,58679000
Spencer Hawes,6500000.0,2012,PHI,25.0,82.0,34.0,48.0,11.0,0.4,7.2,2.2,1.6,0.3,1.4,-1.7,99.9,103.6,-3.8,58679000
Wilson Chandler,6344164.0,2012,DEN,26.0,43.0,33.0,10.0,13.0,1.2,5.1,1.3,1.4,1.0,0.3,4.1,109.4,100.9,8.5,58679000
Jarrett Jack,6300000.0,2012,GSW,29.0,79.0,47.0,32.0,12.9,1.0,3.1,5.6,2.0,0.8,0.1,1.1,105.1,103.6,1.5,58679000
Chris Andersen,6217507.0,2012,MIA,34.0,42.0,39.0,3.0,4.9,0.0,4.1,0.4,0.6,0.4,1.0,2.3,106.2,99.0,7.2,58679000
Kyle Lowry,6210000.0,2012,TOR,27.0,68.0,27.0,41.0,11.6,1.5,4.7,6.4,2.3,1.4,0.4,0.6,106.1,105.0,1.1,58679000
Jason Richardson,6204250.0,2012,PHI,32.0,33.0,13.0,20.0,10.5,1.7,3.8,1.5,0.8,1.2,0.5,-0.3,101.9,102.7,-0.8,58679000
Derrick Favors,6008106.0,2012,UTA,21.0,77.0,40.0,37.0,9.4,0.0,7.1,1.0,1.7,0.9,1.7,-0.1,102.5,102.4,0.1,58679000
Gerald Henderson,6000000.0,2012,CHA,25.0,68.0,15.0,53.0,15.5,0.5,3.7,2.6,1.6,1.0,0.5,-5.9,100.1,110.1,-10.0,58679000
Kyrie Irving,5915880.0,2012,CLE,21.0,59.0,19.0,40.0,22.5,1.8,3.7,5.9,3.2,1.5,0.4,-3.0,104.0,108.7,-4.6,58679000
Chuck Hayes,5722500.0,2012,SAC,30.0,74.0,27.0,47.0,2.7,0.0,4.0,1.5,0.6,0.4,0.2,-0.4,103.4,104.3,-0.9,58679000
Jason Thompson,5643750.0,2012,SAC,26.0,82.0,28.0,54.0,10.9,0.0,6.7,1.0,1.2,0.6,0.7,-3.0,104.7,109.2,-4.5,58679000
JR Smith,5565000.0,2012,NYK,27.0,80.0,53.0,27.0,18.1,1.9,5.3,2.7,1.7,1.3,0.3,3.7,109.0,103.3,5.7,58679000
Anthony Davis,5375760.0,2012,NOH,20.0,64.0,23.0,41.0,13.5,0.0,8.2,1.0,1.4,1.2,1.8,-2.4,104.0,107.8,-3.8,58679000
Derrick Williams,5293080.0,2012,MIN,22.0,78.0,29.0,49.0,12.0,0.8,5.5,0.6,1.3,0.6,0.5,-2.5,99.7,104.2,-4.5,58679000
Landry Fields,5225000.0,2012,TOR,25.0,51.0,21.0,30.0,4.7,0.0,4.1,1.2,0.8,0.6,0.2,-0.5,105.4,106.2,-0.8,58679000
Jason Terry,5225000.0,2012,BOS,35.0,79.0,40.0,39.0,10.1,1.6,2.0,2.5,1.3,0.8,0.1,0.8,100.5,100.7,-0.2,58679000
Courtney Lee,5225000.0,2012,BOS,27.0,78.0,40.0,38.0,7.8,0.7,2.4,1.8,1.1,1.1,0.3,-1.2,101.2,103.0,-1.8,58679000
Jamal Crawford,5225000.0,2012,LAC,33.0,76.0,51.0,25.0,16.5,2.0,1.7,2.5,1.9,1.0,0.2,4.8,108.0,100.2,7.8,58679000
Omer Asik,5225000.0,2012,HOU,26.0,82.0,45.0,37.0,10.1,0.0,11.7,0.9,2.1,0.6,1.1,3.5,108.7,102.3,6.4,58679000
Jeremy Lin,5225000.0,2012,HOU,24.0,82.0,45.0,37.0,13.4,1.1,3.0,6.1,2.9,1.6,0.4,1.6,107.7,105.1,2.6,58679000
Zaza Pachulia,5200000.0,2012,ATL,29.0,52.0,29.0,23.0,5.9,0.0,6.5,1.5,1.3,0.7,0.2,-0.5,101.4,102.6,-1.2,58679000
Martell Webster,5150000.0,2012,WAS,26.0,76.0,28.0,48.0,11.4,1.8,3.9,1.9,1.2,0.6,0.2,-0.4,100.4,100.8,-0.4,58679000
JJ Hickson,5150000.0,2012,POR,24.0,80.0,33.0,47.0,12.7,0.0,10.4,1.1,1.8,0.6,0.6,-3.3,102.8,108.2,-5.3,58679000
Robin Lopez,5119761.0,2012,NOH,25.0,82.0,27.0,55.0,11.3,0.0,5.6,0.8,1.3,0.4,1.6,-1.7,103.8,106.8,-3.1,58679000
Keith Bogans,5058198.0,2012,BKN,33.0,74.0,44.0,30.0,4.2,1.1,1.6,1.0,0.7,0.4,0.1,-0.5,103.2,103.7,-0.5,58679000
Andre Miller,5000000.0,2012,DEN,37.0,82.0,57.0,25.0,9.6,0.2,2.9,5.9,2.1,0.9,0.1,2.5,107.4,103.2,4.2,58679000
Chase Budinger,5000000.0,2012,MIN,25.0,23.0,12.0,11.0,9.4,1.1,3.1,1.1,1.0,0.6,0.3,0.9,102.5,100.3,2.2,58679000
Ramon Sessions,5000000.0,2012,CHA,27.0,61.0,13.0,48.0,14.4,0.5,2.8,3.8,1.7,0.8,0.1,-6.2,98.4,110.4,-12.0,58679000
Tony Allen,5000000.0,2012,MEM,31.0,79.0,54.0,25.0,8.9,0.0,4.6,1.2,1.2,1.5,0.6,2.7,102.0,95.4,6.7,58679000
Brandan Wright,5000000.0,2012,DAL,25.0,64.0,33.0,31.0,8.5,0.0,4.1,0.6,0.5,0.4,1.2,1.6,107.0,102.1,4.9,58679000
DeMarcus Cousins,4916973.0,2012,SAC,22.0,75.0,26.0,49.0,17.1,0.1,9.9,2.7,3.0,1.4,0.7,-4.0,104.1,110.2,-6.1,58679000
Michael Kidd-Gilchrist,4809840.0,2012,CHA,19.0,78.0,20.0,58.0,9.0,0.0,5.8,1.5,1.3,0.7,0.9,-3.7,100.6,107.8,-7.2,58679000
Enes Kanter,4753320.0,2012,UTA,21.0,70.0,35.0,35.0,7.2,0.0,4.3,0.4,1.4,0.4,0.5,1.7,103.1,98.0,5.1,58679000
Boris Diaw,4702500.0,2012,SAS,31.0,75.0,55.0,20.0,5.8,0.4,3.4,2.4,1.1,0.7,0.4,2.1,106.2,101.6,4.6,58679000
Linas Kleiza,4600000.0,2012,TOR,28.0,20.0,9.0,11.0,7.4,1.0,2.6,0.8,0.7,0.2,0.1,-2.2,102.3,108.8,-6.5,58679000
Luc Mbah a Moute,4588384.0,2012,MIL,26.0,58.0,28.0,30.0,6.7,0.2,4.4,0.9,1.2,0.7,0.2,-1.5,100.0,103.1,-3.0,58679000
Corey Brewer,4500000.0,2012,DEN,27.0,82.0,57.0,25.0,12.1,1.1,2.9,1.5,1.2,1.4,0.3,1.8,106.6,102.7,3.9,58679000
Luis Scola,4500000.0,2012,PHX,33.0,82.0,25.0,57.0,12.8,0.0,6.6,2.2,1.5,0.8,0.4,-2.6,100.9,105.6,-4.8,58679000
Jonas Jerebko,4500000.0,2012,DET,26.0,49.0,13.0,36.0,7.7,0.5,3.8,0.9,0.9,0.8,0.2,-1.7,102.6,108.0,-5.4,58679000
Ekpe Udoh,4469547.0,2012,MIL,26.0,76.0,36.0,40.0,4.3,0.0,3.3,0.6,0.6,0.5,1.1,-0.7,98.9,100.3,-1.5,58679000
Timofey Mozgov,4400000.0,2012,DEN,26.0,41.0,27.0,14.0,2.6,0.0,2.6,0.2,0.6,0.1,0.4,-1.8,96.1,105.7,-9.6,58679000
Earl Clark,4361518.0,2012,LAL,25.0,59.0,37.0,22.0,7.3,0.6,5.5,1.1,1.1,0.6,0.7,-1.4,102.4,106.2,-3.9,58679000
Udonis Haslem,4340000.0,2012,MIA,33.0,75.0,60.0,15.0,3.9,0.0,5.4,0.5,0.6,0.4,0.2,3.6,110.7,100.2,10.5,58679000
Luke Ridnour,4320000.0,2012,MIN,32.0,82.0,31.0,51.0,11.5,0.8,2.5,3.8,1.6,1.0,0.2,-1.6,101.2,104.3,-3.1,58679000
Bradley Beal,4319280.0,2012,WAS,20.0,56.0,21.0,35.0,13.9,1.6,3.8,2.4,1.6,0.9,0.5,-1.6,98.3,100.6,-2.2,58679000
Tristan Thompson,4285560.0,2012,CLE,22.0,82.0,24.0,58.0,11.7,0.0,9.4,1.3,1.5,0.7,0.9,-2.9,103.0,107.6,-4.6,58679000
Jared Dudley,4250000.0,2012,PHX,27.0,79.0,24.0,55.0,10.9,1.3,3.1,2.6,1.3,0.9,0.1,-1.6,100.3,103.5,-3.2,58679000
Quentin Richardson,4208107.0,2012,NYK,33.0,1.0,1.0,0.0,5.0,1.0,10.0,1.0,2.0,0.0,0.0,-9.0,82.8,98.3,-15.5,58679000
Raymond Felton,4180000.0,2012,NYK,29.0,68.0,47.0,21.0,13.9,1.4,2.9,5.5,2.3,1.4,0.2,4.1,112.3,106.3,5.9,58679000
Greg Monroe,4086453.0,2012,DET,23.0,81.0,29.0,52.0,16.0,0.0,9.6,3.5,2.9,1.3,0.7,-2.8,100.8,106.0,-5.2,58679000
Kirk Hinrich,4059000.0,2012,CHI,32.0,60.0,38.0,22.0,7.7,1.2,2.6,5.2,1.7,1.1,0.4,1.6,103.4,100.1,3.3,58679000
Ricky Rubio,4002120.0,2012,MIN,22.0,57.0,18.0,39.0,10.7,0.5,4.0,7.3,3.0,2.4,0.1,-1.5,101.3,103.1,-1.8,58679000
Brandon Rush,4000000.0,2012,GSW,27.0,2.0,1.0,1.0,7.0,0.0,0.5,1.0,1.5,0.0,0.0,3.0,96.3,88.5,7.8,58679000
Mario Chalmers,4000000.0,2012,MIA,27.0,77.0,62.0,15.0,8.6,1.6,2.2,3.5,1.5,1.5,0.2,7.4,113.9,100.2,13.7,58679000
Ian Mahinmi,4000000.0,2012,IND,26.0,80.0,49.0,31.0,5.0,0.0,3.9,0.3,1.2,0.5,0.8,-1.7,94.3,99.6,-5.3,58679000
Steve Blake,4000000.0,2012,LAL,33.0,45.0,29.0,16.0,7.3,1.6,2.9,3.8,1.4,0.8,0.1,0.6,104.6,103.1,1.5,58679000
Elton Brand,4000000.0,2012,DAL,34.0,72.0,35.0,37.0,7.2,0.0,6.0,1.0,0.8,0.7,1.3,-0.8,102.1,104.1,-2.1,58679000
Matt Bonner,3945000.0,2012,SAS,33.0,68.0,47.0,21.0,4.2,0.8,1.9,0.5,0.2,0.3,0.3,1.2,105.3,101.1,4.3,58679000
Thabo Sefolosha,3900000.0,2012,OKC,29.0,81.0,59.0,22.0,7.6,1.3,3.9,1.5,0.8,1.3,0.5,6.2,110.3,98.0,12.2,58679000
Dion Waiters,3894240.0,2012,CLE,21.0,61.0,20.0,41.0,14.7,1.0,2.4,3.0,2.0,1.0,0.3,-2.5,105.4,109.8,-4.3,58679000
Joel Anthony,3800000.0,2012,MIA,30.0,62.0,50.0,12.0,1.4,0.0,1.9,0.2,0.4,0.2,0.7,0.5,104.3,103.2,1.1,58679000
Danny Green,3762500.0,2012,SAS,26.0,80.0,57.0,23.0,10.5,2.2,3.1,1.8,1.2,1.2,0.7,3.9,106.3,98.7,7.5,58679000
Steve Novak,3750001.0,2012,NYK,30.0,81.0,53.0,28.0,6.6,1.8,1.9,0.4,0.1,0.3,0.1,3.0,108.9,102.7,6.2,58679000
Samuel Dalembert,3700748.0,2012,MIL,33.0,47.0,22.0,25.0,6.7,0.0,5.9,0.4,1.1,0.4,1.1,-2.3,99.7,107.1,-7.3,58679000
Al-Farouq Aminu,3700000.0,2012,NOH,22.0,76.0,25.0,51.0,7.3,0.1,7.7,1.4,1.5,1.2,0.7,-1.0,105.3,105.9,-0.6,58679000
Jonas Valanciunas,3526440.0,2012,TOR,21.0,62.0,25.0,37.0,8.9,0.0,6.0,0.7,1.5,0.3,1.3,-2.0,101.9,105.6,-3.7,58679000
Thomas Robinson,3526440.0,2012,HOU,22.0,70.0,30.0,40.0,4.8,0.0,4.5,0.7,1.3,0.6,0.4,-2.1,100.9,107.6,-6.7,58679000
Jan Vesely,3524880.0,2012,WAS,23.0,51.0,15.0,36.0,2.5,0.0,2.4,0.5,0.5,0.3,0.3,-0.8,101.0,103.2,-2.2,58679000
Gerald Green,3500000.0,2012,IND,27.0,60.0,37.0,23.0,7.0,1.0,2.4,0.8,0.9,0.3,0.4,-0.1,95.6,96.3,-0.7,58679000
Jordan Hill,3500000.0,2012,LAL,25.0,29.0,12.0,17.0,6.7,0.0,5.7,0.4,0.9,0.3,0.7,-1.1,103.4,106.4,-3.0,58679000
Marreese Speights,3500000.0,2012,CLE,25.0,79.0,39.0,40.0,8.3,0.0,4.9,0.6,1.0,0.3,0.7,-1.9,99.0,103.8,-4.8,58679000
Gordon Hayward,3452183.0,2012,UTA,23.0,72.0,37.0,35.0,14.1,1.4,3.1,3.0,1.7,0.8,0.5,1.5,106.7,104.2,2.5,58679000
Marcus Camby,3383773.0,2012,NYK,39.0,24.0,16.0,8.0,1.8,0.0,3.3,0.6,0.6,0.3,0.6,-0.7,96.4,98.3,-1.9,58679000
Paul George,3282003.0,2012,IND,23.0,79.0,48.0,31.0,17.4,2.2,7.6,4.1,2.9,1.8,0.6,4.6,104.4,98.1,6.4,58679000
Shane Battier,3270000.0,2012,MIA,34.0,72.0,59.0,13.0,6.6,1.9,2.3,1.0,0.5,0.6,0.8,4.7,111.3,101.5,9.8,58679000
Carlos Delfino,3250000.0,2012,HOU,30.0,67.0,38.0,29.0,10.6,2.4,3.3,2.0,1.1,1.0,0.1,3.7,109.5,102.7,6.8,58679000
Matt Barnes,3250000.0,2012,LAC,33.0,80.0,55.0,25.0,10.3,1.4,4.6,1.5,1.1,1.0,0.8,3.6,106.5,99.1,7.4,58679000
Alonzo Gee,3250000.0,2012,CLE,26.0,82.0,24.0,58.0,10.3,0.8,3.9,1.6,1.6,1.3,0.4,-4.3,102.7,109.7,-7.0,58679000
Gary Neal,3250000.0,2012,SAS,28.0,68.0,47.0,21.0,9.5,1.3,2.1,1.9,1.0,0.4,0.0,1.5,105.1,101.2,3.9,58679000
Klay Thompson,3245151.0,2012,GSW,23.0,82.0,47.0,35.0,16.6,2.6,3.7,2.2,1.9,1.0,0.5,1.3,106.0,104.2,1.8,58679000
Darrell Arthur,3231683.0,2012,MEM,25.0,59.0,37.0,22.0,6.1,0.1,2.9,0.6,0.7,0.4,0.6,-1.7,96.2,100.9,-4.6,58679000
Ray Allen,3229050.0,2012,MIA,37.0,79.0,63.0,16.0,10.9,1.8,2.7,1.7,1.3,0.8,0.2,2.2,108.6,104.8,3.8,58679000
Mirza Teletovic,3229050.0,2012,BKN,27.0,53.0,28.0,25.0,3.5,0.7,1.8,0.4,0.4,0.2,0.2,-0.4,100.2,103.2,-3.0,58679000
Bismack Biyombo,3217680.0,2012,CHA,20.0,80.0,20.0,60.0,4.8,0.0,7.3,0.4,1.0,0.4,1.8,-4.6,101.1,109.4,-8.4,58679000
Damian Lillard,3202920.0,2012,POR,22.0,82.0,33.0,49.0,19.0,2.3,3.1,6.5,3.0,0.9,0.2,-0.8,106.3,107.8,-1.5,58679000
Tyler Hansbrough,3183000.0,2012,IND,27.0,81.0,49.0,32.0,7.0,0.0,4.6,0.4,1.0,0.4,0.2,-0.1,96.9,97.6,-0.8,58679000
Chris Kaman,3183000.0,2012,DAL,31.0,66.0,31.0,35.0,10.5,0.0,5.6,0.8,1.6,0.4,0.8,-1.9,100.1,105.5,-5.3,58679000
Andrei Kirilenko,3183000.0,2012,MIN,32.0,64.0,26.0,38.0,12.4,0.5,5.7,2.8,1.9,1.5,1.0,-0.4,102.7,103.2,-0.5,58679000
Vince Carter,3180000.0,2012,DAL,36.0,81.0,41.0,40.0,13.4,2.0,4.1,2.4,1.3,0.9,0.5,3.0,106.6,101.3,5.4,58679000
Ed Davis,3153860.0,2012,MEM,24.0,81.0,43.0,38.0,7.7,0.0,5.7,0.8,0.8,0.5,1.0,-0.4,102.1,102.6,-0.4,58679000
Jerryd Bayless,3135000.0,2012,MEM,24.0,80.0,54.0,26.0,8.7,0.9,2.2,3.3,1.5,0.7,0.2,0.1,101.4,100.9,0.5,58679000
Lavoy Allen,3120000.0,2012,PHI,24.0,79.0,34.0,45.0,5.8,0.0,5.0,0.9,0.7,0.3,0.7,-1.3,98.2,100.4,-2.2,58679000
Patrick Patterson,3105301.0,2012,SAC,24.0,71.0,31.0,40.0,10.4,0.7,4.7,1.1,0.9,0.4,0.6,0.9,109.1,107.7,1.4,58679000
Alexey Shved,3066667.0,2012,MIN,24.0,77.0,30.0,47.0,8.6,1.1,2.3,3.7,1.9,0.7,0.4,-1.0,100.7,102.8,-2.1,58679000
Larry Sanders,3053368.0,2012,MIL,24.0,71.0,34.0,37.0,9.8,0.0,9.5,1.2,1.2,0.7,2.8,0.5,101.8,100.2,1.5,58679000
Dorell Wright,3000000.0,2012,PHI,27.0,79.0,32.0,47.0,9.2,1.7,3.8,1.9,0.8,0.8,0.4,-2.2,98.3,104.4,-6.1,58679000
Joel Freeland,3000000.0,2012,POR,26.0,51.0,15.0,36.0,2.6,0.0,2.3,0.3,0.4,0.3,0.2,-1.8,91.8,101.0,-9.2,58679000
Kwame Brown,3000000.0,2012,PHI,31.0,22.0,7.0,15.0,1.9,0.0,3.4,0.4,0.4,0.3,0.5,-1.8,95.0,102.1,-7.1,58679000
Kosta Koufos,3000000.0,2012,DEN,24.0,81.0,57.0,24.0,8.0,0.0,6.9,0.4,0.7,0.5,1.3,3.7,110.2,101.2,9.0,58679000
Chris Copeland,3000000.0,2012,NYK,29.0,56.0,38.0,18.0,8.7,1.1,2.1,0.5,0.9,0.3,0.2,1.0,108.2,103.8,4.4,58679000
Randy Foye,3000000.0,2012,UTA,29.0,82.0,43.0,39.0,10.8,2.2,1.5,2.0,1.1,0.8,0.3,-1.0,104.2,106.4,-2.2,58679000
Mike Dunleavy,3000000.0,2012,MIL,32.0,75.0,33.0,42.0,10.5,1.7,3.9,1.9,1.2,0.5,0.5,1.3,104.0,102.4,1.6,58679000
Brandon Knight,2947800.0,2012,DET,21.0,75.0,29.0,46.0,13.3,1.6,3.3,4.0,2.7,0.8,0.1,-1.6,100.9,103.6,-2.7,58679000
Harrison Barnes,2923920.0,2012,GSW,21.0,81.0,46.0,35.0,9.2,0.6,4.1,1.2,1.2,0.6,0.2,0.6,104.5,102.5,2.0,58679000
Jimmer Fredette,2813399.0,2012,SAC,24.0,69.0,25.0,44.0,7.2,0.9,1.0,1.3,1.0,0.4,0.0,-1.2,106.9,110.8,-3.9,58679000
Will Bynum,2790343.0,2012,DET,30.0,65.0,26.0,39.0,9.8,0.4,1.5,3.6,1.9,0.7,0.1,-2.6,101.2,109.2,-8.1,58679000
Kevin Seraphin,2761113.0,2012,WAS,23.0,79.0,27.0,52.0,9.1,0.0,4.4,0.7,1.6,0.3,0.7,-2.8,95.2,101.1,-5.9,58679000
Marco Belinelli,2750000.0,2012,CHI,27.0,73.0,40.0,33.0,9.6,1.1,1.9,2.0,1.1,0.6,0.1,-0.6,101.3,103.0,-1.7,58679000
Kemba Walker,2709720.0,2012,CHA,23.0,82.0,21.0,61.0,17.7,1.3,3.5,5.7,2.4,2.0,0.4,-5.7,100.3,109.0,-8.7,58679000
Terrence Ross,2678640.0,2012,TOR,22.0,73.0,29.0,44.0,6.4,0.9,2.0,0.7,0.7,0.6,0.2,-0.9,103.3,106.2,-2.8,58679000
Greg Stiemsma,2676000.0,2012,MIN,27.0,76.0,28.0,48.0,4.0,0.0,3.4,0.4,0.8,0.6,1.2,-1.1,97.2,100.6,-3.4,58679000
Josh McRoberts,2652000.0,2012,CHA,26.0,67.0,19.0,48.0,6.0,0.4,4.9,2.1,1.0,0.5,0.4,-3.7,98.7,106.9,-8.2,58679000
Eric Bledsoe,2626473.0,2012,LAC,23.0,76.0,52.0,24.0,8.5,0.4,3.0,3.1,1.8,1.4,0.7,1.6,102.6,98.4,4.1,58679000
Aaron Gray,2612500.0,2012,TOR,28.0,42.0,14.0,28.0,2.8,0.0,3.2,0.8,0.9,0.2,0.1,-2.1,96.2,104.3,-8.1,58679000
Nick Collison,2585668.0,2012,OKC,32.0,81.0,60.0,21.0,5.1,0.0,4.1,1.5,0.9,0.6,0.4,4.5,112.3,99.7,12.5,58679000
Avery Bradley,2511432.0,2012,BOS,22.0,50.0,27.0,23.0,9.2,0.8,2.2,2.1,1.4,1.3,0.4,-0.9,101.6,102.4,-0.7,58679000
Jason Maxiell,2500000.0,2012,DET,30.0,72.0,24.0,48.0,6.9,0.0,5.7,0.8,1.1,0.4,1.3,-2.6,99.6,105.4,-5.8,58679000
Jason Smith,2500000.0,2012,NOH,27.0,51.0,19.0,32.0,8.2,0.0,3.6,0.7,1.1,0.3,0.9,-1.4,100.7,103.9,-3.2,58679000
Chauncey Billups,2500000.0,2012,LAC,36.0,22.0,16.0,6.0,8.4,1.5,1.5,2.2,1.2,0.5,0.0,2.1,113.2,107.9,5.2,58679000
Wayne Ellington,2500000.0,2012,CLE,25.0,78.0,39.0,39.0,7.9,1.2,2.1,1.3,0.7,0.6,0.0,0.2,102.6,102.5,0.1,58679000
DeMarre Carroll,2500000.0,2012,UTA,26.0,66.0,34.0,32.0,6.0,0.3,2.8,0.9,0.5,0.9,0.4,1.8,105.9,100.4,5.6,58679000
Andre Drummond,2462400.0,2012,DET,19.0,60.0,23.0,37.0,7.9,0.0,7.6,0.5,1.0,1.0,1.6,-0.8,103.7,106.1,-2.4,58679000
Trevor Booker,2350820.0,2012,WAS,25.0,48.0,18.0,30.0,5.3,0.0,5.0,0.8,0.6,0.7,0.3,-3.1,95.4,104.1,-8.7,58679000
Austin Rivers,2339040.0,2012,NOH,20.0,61.0,21.0,40.0,6.2,0.5,1.8,2.1,1.2,0.4,0.1,-2.6,101.7,107.1,-5.4,58679000
Alec Burks,2323200.0,2012,UTA,21.0,64.0,32.0,32.0,7.0,0.5,2.3,1.4,1.2,0.5,0.2,1.5,106.0,102.1,4.0,58679000
Quincy Pondexter,2225478.0,2012,MEM,25.0,59.0,43.0,16.0,6.4,1.0,2.2,1.0,0.7,0.6,0.1,0.9,102.6,101.1,1.5,58679000
CJ Miles,2225000.0,2012,CLE,26.0,65.0,19.0,46.0,11.2,1.9,2.7,1.0,1.1,0.8,0.3,-1.3,102.2,105.5,-3.3,58679000
Meyers Leonard,2222160.0,2012,POR,21.0,69.0,28.0,41.0,5.5,0.0,3.7,0.5,0.7,0.2,0.6,-2.2,99.4,106.6,-7.2,58679000
Markieff Morris,2207040.0,2012,PHX,23.0,82.0,25.0,57.0,8.2,0.5,4.8,1.3,1.3,0.9,0.8,-4.4,99.3,108.7,-9.4,58679000
Dante Cunningham,2180000.0,2012,MIN,26.0,80.0,30.0,50.0,8.7,0.0,5.1,0.8,0.7,1.1,0.5,-1.2,100.4,102.5,-2.1,58679000
Jordan Crawford,2162418.0,2012,BOS,24.0,70.0,23.0,47.0,11.6,1.2,3.0,3.2,2.0,0.6,0.1,-2.4,95.9,100.8,-4.9,58679000
Greivis Vasquez,2150188.0,2012,NOH,26.0,78.0,26.0,52.0,13.9,1.1,4.3,9.0,3.2,0.8,0.1,-2.3,106.3,109.3,-3.0,58679000
Jeremy Lamb,2111160.0,2012,OKC,21.0,23.0,20.0,3.0,3.1,0.4,0.8,0.2,0.3,0.1,0.1,-2.0,93.4,110.1,-16.7,58679000
Eric Maynor,2016000.0,2012,POR,26.0,64.0,40.0,24.0,4.5,0.5,0.7,2.8,1.2,0.3,0.0,-1.1,104.0,107.0,-3.0,58679000
Nate Robinson,2016000.0,2012,CHI,29.0,82.0,45.0,37.0,13.1,1.7,2.2,4.4,1.8,1.0,0.1,0.4,103.0,102.5,0.6,58679000
Jermaine O'Neal,2000000.0,2012,PHX,34.0,55.0,17.0,38.0,8.3,0.0,5.3,0.8,1.3,0.3,1.4,-2.4,96.5,103.5,-7.0,58679000
Kawhi Leonard,1991760.0,2012,SAS,22.0,58.0,43.0,15.0,11.9,1.1,6.0,1.6,1.1,1.7,0.6,6.2,107.5,97.3,10.1,58679000
John Henson,1905360.0,2012,MIL,22.0,63.0,27.0,36.0,6.0,0.0,4.7,0.5,0.7,0.3,0.7,-0.6,100.6,102.3,-1.7,58679000
